X,Y,Object Type,Radius,Width,Height,Theta,HP,R,G,B
410,3393,3,40,0,0,0,-1000,185,189,15
790,3627,3,67,0,0,0,-1000,143,128,12
790,3627,3,47,0,0,0,-1000,164,168,13
790,3627,3,27,0,0,0,-1000,185,189,15
968,3276,3,65,0,0,0,-1000,143,128,12
968,3276,3,45,0,0,0,-1000,164,168,13
968,3276,3,25,0,0,0,-1000,185,189,15
2403,2587,3,62,0,0,0,-1000,143,128,12
2403,2587,3,45,0,0,0,-1000,164,168,13
2403,2587,3,25,0,0,0,-1000,185,189,15
1499,3378,3,55,0,0,0,-1000,143,128,12
1499,3378,3,40,0,0,0,-1000,164,168,13
1499,3378,3,25,0,0,0,-1000,185,189,15
1901,3290,3,57,0,0,0,-1000,143,128,12
1901,3290,3,40,0,0,0,-1000,164,168,13
1901,3290,3,25,0,0,0,-1000,185,189,15
1622,3650,3,75,0,0,0,-1000,143,128,12
1622,3650,3,55,0,0,0,-1000,164,168,13
1622,3650,3,35,0,0,0,-1000,185,189,15
2096,3606,3,48,0,0,0,-1000,143,128,12
2096,3606,3,35,0,0,0,-1000,164,168,13
2096,3606,3,20,0,0,0,-1000,185,189,15
2034,2940,3,64,0,0,0,-1000,143,128,12
2034,2940,3,45,0,0,0,-1000,164,168,13
2034,2940,3,30,0,0,0,-1000,185,189,15
2184,3184,3,52,0,0,0,-1000,143,128,12
2184,3184,3,35,0,0,0,-1000,164,168,13
2184,3184,3,20,0,0,0,-1000,185,189,15
2353,3507,3,55,0,0,0,-1000,143,128,12
2353,3507,3,42,0,0,0,-1000,164,168,13
2353,3507,3,25,0,0,0,-1000,185,189,15
2796,3594,3,51,0,0,0,-1000,143,128,12
2796,3594,3,35,0,0,0,-1000,164,168,13
2796,3594,3,20,0,0,0,-1000,185,189,15
3028,3408,3,61,0,0,0,-1000,143,128,12
3028,3408,3,45,0,0,0,-1000,164,168,13
3028,3408,3,30,0,0,0,-1000,185,189,15
3569,3566,3,77,0,0,0,-1000,143,128,12
3569,3566,3,57,0,0,0,-1000,164,168,13
3569,3566,3,37,0,0,0,-1000,185,189,15
2646,2883,3,57,0,0,0,-1000,143,128,12
2646,2883,3,40,0,0,0,-1000,164,168,13
2646,2883,3,25,0,0,0,-1000,185,189,15
2969,2945,3,68,0,0,0,-1000,143,128,12
2969,2945,3,48,0,0,0,-1000,164,168,13
2969,2945,3,28,0,0,0,-1000,185,189,15
3623,3297,3,57,0,0,0,-1000,143,128,12
3623,3297,3,37,0,0,0,-1000,164,168,13
3623,3297,3,20,0,0,0,-1000,185,189,15
3448,2448,3,50,0,0,0,-1000,143,128,12
3448,2448,3,35,0,0,0,-1000,164,168,13
3448,2448,3,20,0,0,0,-1000,185,189,15
2779,2415,3,57,0,0,0,-1000,143,128,12
2779,2415,3,40,0,0,0,-1000,164,168,13
2779,2415,3,25,0,0,0,-1000,185,189,15
3083,2306,3,66,0,0,0,-1000,143,128,12
3083,2306,3,46,0,0,0,-1000,164,168,13
3083,2306,3,30,0,0,0,-1000,185,189,15
3142,2001,3,68,0,0,0,-1000,143,128,12
3142,2001,3,48,0,0,0,-1000,164,168,13
3142,2001,3,30,0,0,0,-1000,185,189,15
2556,1617,3,58,0,0,0,-1000,143,128,12
2556,1617,3,40,0,0,0,-1000,164,168,13
2556,1617,3,25,0,0,0,-1000,185,189,15
2885,1480,3,70,0,0,0,-1000,143,128,12
2885,1480,3,50,0,0,0,-1000,164,168,13
2885,1480,3,30,0,0,0,-1000,185,189,15
2433,1178,3,61,0,0,0,-1000,143,128,12
2433,1178,3,45,0,0,0,-1000,164,168,13
2433,1178,3,30,0,0,0,-1000,185,189,15
2895,1118,3,50,0,0,0,-1000,143,128,12
2895,1118,3,35,0,0,0,-1000,164,168,13
2895,1118,3,20,0,0,0,-1000,185,189,15
2596,685,3,55,0,0,0,-1000,143,128,12
2596,685,3,37,0,0,0,-1000,164,168,13
2596,685,3,25,0,0,0,-1000,185,189,15
2849,524,3,65,0,0,0,-1000,143,128,12
2849,524,3,45,0,0,0,-1000,164,168,13
2849,524,3,30,0,0,0,-1000,185,189,15
3210,787,3,57,0,0,0,-1000,143,128,12
3210,787,3,40,0,0,0,-1000,164,168,13
3210,787,3,25,0,0,0,-1000,185,189,15
3218,1044,3,59,0,0,0,-1000,143,128,12
3218,1044,3,45,0,0,0,-1000,164,168,13
3218,1044,3,30,0,0,0,-1000,185,189,15
3355,1810,3,56,0,0,0,-1000,143,128,12
3355,1810,3,40,0,0,0,-1000,164,168,13
3355,1810,3,25,0,0,0,-1000,185,189,15
3435,1235,3,56,0,0,0,-1000,143,128,12
3435,1235,3,40,0,0,0,-1000,164,168,13
3435,1235,3,25,0,0,0,-1000,185,189,15
3462,630,3,50,0,0,0,-1000,143,128,12
3462,630,3,35,0,0,0,-1000,164,168,13
3462,630,3,20,0,0,0,-1000,185,189,15
3317,170,3,50,0,0,0,-1000,143,128,12
3317,170,3,35,0,0,0,-1000,164,168,13
3317,170,3,20,0,0,0,-1000,185,189,15
3102,332,3,60,0,0,0,-1000,143,128,12
3102,332,3,45,0,0,0,-1000,164,168,13
3102,332,3,30,0,0,0,-1000,185,189,15
2722,171,3,51,0,0,0,-1000,143,128,12
2722,171,3,35,0,0,0,-1000,164,168,13
2722,171,3,20,0,0,0,-1000,185,189,15
2475,260,3,58,0,0,0,-1000,143,128,12
2475,260,3,40,0,0,0,-1000,164,168,13
2475,260,3,25,0,0,0,-1000,185,189,15
2119,908,3,55,0,0,0,-1000,143,128,12
2119,908,3,37,0,0,0,-1000,164,168,13
2119,908,3,25,0,0,0,-1000,185,189,15
1674,173,3,52,0,0,0,-1000,143,128,12
1674,173,3,35,0,0,0,-1000,164,168,13
1674,173,3,20,0,0,0,-1000,185,189,15
1106,200,3,52,0,0,0,-1000,143,128,12
1106,200,3,35,0,0,0,-1000,164,168,13
1106,200,3,20,0,0,0,-1000,185,189,15
1936,509,3,57,0,0,0,-1000,143,128,12
1936,509,3,43,0,0,0,-1000,164,168,13
1936,509,3,29,0,0,0,-1000,185,189,15
2166,261,3,60,0,0,0,-1000,143,128,12
2166,261,3,45,0,0,0,-1000,164,168,13
2166,261,3,30,0,0,0,-1000,185,189,15
970,650,3,38,0,0,0,-1000,87,156,31
958,652,3,10,0,0,0,-1000,169,22,70
970,640,3,10,0,0,0,-1000,188,24,78
975,655,3,10,0,0,0,-1000,202,26,83
960,667,3,10,0,0,0,-1000,169,22,70
972,655,3,10,0,0,0,-1000,188,24,78
977,670,3,10,0,0,0,-1000,202,26,83
967,657,3,10,0,0,0,-1000,169,22,70
985,645,3,10,0,0,0,-1000,188,24,78
990,660,3,10,0,0,0,-1000,202,26,83
1455,1065,3,38,0,0,0,-1000,87,156,31
1443,1067,3,10,0,0,0,-1000,169,22,70
1455,1055,3,10,0,0,0,-1000,188,24,78
1460,1070,3,10,0,0,0,-1000,202,26,83
1445,1082,3,10,0,0,0,-1000,169,22,70
1457,1070,3,10,0,0,0,-1000,188,24,78
1462,1085,3,10,0,0,0,-1000,202,26,83
1458,1072,3,10,0,0,0,-1000,169,22,70
1470,1060,3,10,0,0,0,-1000,188,24,78
1475,1075,3,10,0,0,0,-1000,202,26,83
1245,780,3,38,0,0,0,-1000,87,156,31
1233,782,3,10,0,0,0,-1000,169,22,70
1245,770,3,10,0,0,0,-1000,188,24,78
1250,785,3,10,0,0,0,-1000,202,26,83
1235,797,3,10,0,0,0,-1000,169,22,70
1247,785,3,10,0,0,0,-1000,188,24,78
1252,800,3,10,0,0,0,-1000,202,26,83
1248,787,3,10,0,0,0,-1000,169,22,70
1260,775,3,10,0,0,0,-1000,188,24,78
1265,790,3,10,0,0,0,-1000,202,26,83
925,1120,3,38,0,0,0,-1000,87,156,31
913,1122,3,10,0,0,0,-1000,169,22,70
925,1110,3,10,0,0,0,-1000,188,24,78
930,1125,3,10,0,0,0,-1000,202,26,83
915,1137,3,10,0,0,0,-1000,169,22,70
927,1125,3,10,0,0,0,-1000,188,24,78
932,1140,3,10,0,0,0,-1000,202,26,83
928,1127,3,10,0,0,0,-1000,169,22,70
940,1115,3,10,0,0,0,-1000,188,24,78
945,1130,3,10,0,0,0,-1000,202,26,83
2115,1985,3,38,0,0,0,-1000,87,156,31
2103,1987,3,10,0,0,0,-1000,169,22,70
2115,1975,3,10,0,0,0,-1000,188,24,78
2120,1990,3,10,0,0,0,-1000,202,26,83
2105,2002,3,10,0,0,0,-1000,169,22,70
2117,1990,3,10,0,0,0,-1000,188,24,78
2122,2005,3,10,0,0,0,-1000,202,26,83
2118,1992,3,10,0,0,0,-1000,169,22,70
2130,1980,3,10,0,0,0,-1000,188,24,78
2135,1995,3,10,0,0,0,-1000,202,26,83
755,580,3,42,0,0,0,-1000,87,156,31
743,582,3,10,0,0,0,-1000,169,22,70
755,570,3,10,0,0,0,-1000,188,24,78
760,585,3,10,0,0,0,-1000,202,26,83
745,597,3,10,0,0,0,-1000,169,22,70
757,585,3,10,0,0,0,-1000,188,24,78
762,600,3,10,0,0,0,-1000,202,26,83
758,587,3,10,0,0,0,-1000,169,22,70
770,575,3,10,0,0,0,-1000,188,24,78
775,590,3,10,0,0,0,-1000,202,26,83
790,1300,3,42,0,0,0,-1000,87,156,31
778,1302,3,10,0,0,0,-1000,169,22,70
790,1290,3,10,0,0,0,-1000,188,24,78
795,1305,3,10,0,0,0,-1000,202,26,83
780,1317,3,10,0,0,0,-1000,169,22,70
792,1305,3,10,0,0,0,-1000,188,24,78
797,1320,3,10,0,0,0,-1000,202,26,83
793,1307,3,10,0,0,0,-1000,169,22,70
805,1295,3,10,0,0,0,-1000,188,24,78
810,1310,3,10,0,0,0,-1000,202,26,83
1785,805,3,42,0,0,0,-1000,87,156,31
1773,807,3,10,0,0,0,-1000,169,22,70
1785,795,3,10,0,0,0,-1000,188,24,78
1790,810,3,10,0,0,0,-1000,202,26,83
1775,822,3,10,0,0,0,-1000,169,22,70
1787,810,3,10,0,0,0,-1000,188,24,78
1792,825,3,10,0,0,0,-1000,202,26,83
1788,812,3,10,0,0,0,-1000,169,22,70
1800,800,3,10,0,0,0,-1000,188,24,78
1805,815,3,10,0,0,0,-1000,202,26,83
1555,605,3,44,0,0,0,-1000,87,156,31
1543,607,3,10,0,0,0,-1000,169,22,70
1555,595,3,10,0,0,0,-1000,188,24,78
1560,610,3,10,0,0,0,-1000,202,26,83
1545,622,3,10,0,0,0,-1000,169,22,70
1557,610,3,10,0,0,0,-1000,188,24,78
1562,625,3,10,0,0,0,-1000,202,26,83
1558,612,3,10,0,0,0,-1000,169,22,70
1570,600,3,10,0,0,0,-1000,188,24,78
1575,615,3,10,0,0,0,-1000,202,26,83
1145,1240,3,38,0,0,0,-1000,87,156,31
1133,1242,3,10,0,0,0,-1000,169,22,70
1145,1230,3,10,0,0,0,-1000,188,24,78
1140,1245,3,10,0,0,0,-1000,202,26,83
1135,1257,3,10,0,0,0,-1000,169,22,70
1147,1245,3,10,0,0,0,-1000,188,24,78
1152,1260,3,10,0,0,0,-1000,202,26,83
1148,1247,3,10,0,0,0,-1000,169,22,70
1160,1235,3,10,0,0,0,-1000,188,24,78
1165,1250,3,10,0,0,0,-1000,202,26,83
730,1475,3,39,0,0,0,-1000,87,156,31
718,1477,3,10,0,0,0,-1000,169,22,70
730,1465,3,10,0,0,0,-1000,188,24,78
735,1480,3,10,0,0,0,-1000,202,26,83
720,1492,3,10,0,0,0,-1000,169,22,70
732,1480,3,10,0,0,0,-1000,188,24,78
737,1495,3,10,0,0,0,-1000,202,26,83
733,1482,3,10,0,0,0,-1000,169,22,70
745,1470,3,10,0,0,0,-1000,188,24,78
750,1485,3,10,0,0,0,-1000,202,26,83
1468,788,3,70,0,0,0,-1000,108,111,9
1468,788,3,55,0,0,0,-1000,124,128,11
1468,788,3,35,0,0,0,-1000,158,162,13
1468,788,1,23,0,0,0,-1000,135,97,39
1022,2498,3,70,0,0,0,-1000,108,111,9
1022,2498,3,55,0,0,0,-1000,124,128,11
1022,2498,3,35,0,0,0,-1000,158,162,13
1022,2498,1,23,0,0,0,-1000,135,97,39
1251,946,3,70,0,0,0,-1000,108,111,9
1251,946,3,55,0,0,0,-1000,124,128,11
1251,946,3,35,0,0,0,-1000,158,162,13
1251,946,1,23,0,0,0,-1000,135,97,39
1047,1025,3,80,0,0,0,-1000,108,111,9
1047,1025,3,70,0,0,0,-1000,124,128,11
1047,1025,3,50,0,0,0,-1000,158,162,13
1047,1025,1,25,0,0,0,-1000,135,97,39
2185,587,3,85,0,0,0,-1000,108,111,9
2185,587,3,75,0,0,0,-1000,124,128,11
2185,587,3,55,0,0,0,-1000,158,162,13
2185,587,1,30,0,0,0,-1000,135,97,39
718,833,3,75,0,0,0,-1000,108,111,9
718,833,3,65,0,0,0,-1000,124,128,11
718,833,3,45,0,0,0,-1000,158,162,13
718,833,1,30,0,0,0,-1000,135,97,39
1196,532,3,80,0,0,0,-1000,108,111,9
1196,532,3,70,0,0,0,-1000,124,128,11
1196,532,3,50,0,0,0,-1000,158,162,13
1196,532,1,35,0,0,0,-1000,135,97,39
776,251,3,75,0,0,0,-1000,108,111,9
776,251,3,65,0,0,0,-1000,124,128,11
776,251,3,45,0,0,0,-1000,158,162,13
776,251,1,30,0,0,0,-1000,135,97,39
705,1109,3,78,0,0,0,-1000,108,111,9
705,1109,3,68,0,0,0,-1000,124,128,11
705,1109,3,48,0,0,0,-1000,158,162,13
705,1109,1,30,0,0,0,-1000,135,97,39
1680,1153,3,93,0,0,0,-1000,108,111,9
1680,1153,3,83,0,0,0,-1000,124,128,11
1680,1153,3,63,0,0,0,-1000,158,162,13
1680,1153,1,35,0,0,0,-1000,135,97,39
2408,3237,3,70,0,0,0,-1000,108,111,9
2408,3237,3,55,0,0,0,-1000,124,128,11
2408,3237,3,35,0,0,0,-1000,158,162,13
2408,3237,1,23,0,0,0,-1000,135,97,39
3023,2648,3,70,0,0,0,-1000,108,111,9
3023,2648,3,55,0,0,0,-1000,124,128,11
3023,2648,3,35,0,0,0,-1000,158,162,13
3023,2648,1,23,0,0,0,-1000,135,97,39
2790,2059,3,78,0,0,0,-1000,108,111,9
2790,2059,3,68,0,0,0,-1000,124,128,11
2790,2059,3,48,0,0,0,-1000,158,162,13
2790,2059,1,25,0,0,0,-1000,135,97,39
2919,770,3,80,0,0,0,-1000,108,111,9
2919,770,3,70,0,0,0,-1000,124,128,11
2919,770,3,50,0,0,0,-1000,158,162,13
2919,770,1,35,0,0,0,-1000,135,97,39
3305,1523,3,80,0,0,0,-1000,108,111,9
3305,1523,3,70,0,0,0,-1000,124,128,11
3305,1523,3,50,0,0,0,-1000,158,162,13
3305,1523,1,35,0,0,0,-1000,135,97,39
3527,961,3,80,0,0,0,-1000,108,111,9
3527,961,3,70,0,0,0,-1000,124,128,11
3527,961,3,50,0,0,0,-1000,158,162,13
3527,961,1,35,0,0,0,-1000,135,97,39
3502,353,3,80,0,0,0,-1000,108,111,9
3502,353,3,70,0,0,0,-1000,124,128,11
3502,353,3,50,0,0,0,-1000,158,162,13
3502,353,1,35,0,0,0,-1000,135,97,39
1377,216,3,70,0,0,0,-1000,108,111,9
1377,216,3,55,0,0,0,-1000,124,128,11
1377,216,3,35,0,0,0,-1000,158,162,13
1377,216,1,23,0,0,0,-1000,135,97,39
286,186,3,36,0,0,0,-1000,0,132,0
286,186,1,33,0,0,0,-1000,100,60,11
246,570,3,28,0,0,0,-1000,0,132,0
246,570,1,25,0,0,0,-1000,100,60,11
327,916,3,35,0,0,0,-1000,0,132,0
327,916,1,32,0,0,0,-1000,100,60,11
725,3154,3,31,0,0,0,-1000,0,132,0
725,3154,1,29,0,0,0,-1000,100,60,11
648,2704,3,26,0,0,0,-1000,0,132,0
648,2704,1,24,0,0,0,-1000,100,60,11
363,2313,3,28,0,0,0,-1000,0,132,0
363,2313,1,25,0,0,0,-1000,100,60,11
213,2989,3,28,0,0,0,-1000,0,132,0
213,2989,1,25,0,0,0,-1000,100,60,11
1690,3067,3,38,0,0,0,-1000,0,132,0
1690,3067,1,35,0,0,0,-1000,100,60,11
3262,3239,3,32,0,0,0,-1000,0,132,0
3262,3239,1,29,0,0,0,-1000,100,60,11
2674,1335,3,38,0,0,0,-1000,0,132,0
2674,1335,1,35,0,0,0,-1000,100,60,11
1280,1588,1,62,0,0,0,-1000,89,81,68
1290,1578,1,20,0,0,0,-1000,126,116,97
1670,1834,1,55,0,0,0,-1000,89,81,68
1680,1824,1,15,0,0,0,-1000,126,116,97
1702,1523,1,52,0,0,0,-1000,89,81,68
1712,1513,1,15,0,0,0,-1000,126,116,97
1509,2325,1,62,0,0,0,-1000,89,81,68
1519,2315,1,18,0,0,0,-1000,126,116,97
1034,2004,1,67,0,0,0,-1000,89,81,68
1044,1994,1,20,0,0,0,-1000,126,116,97
1898,2195,1,64,0,0,0,-1000,89,81,68
1908,2185,1,20,0,0,0,-1000,126,116,97
2194,1775,1,62,0,0,0,-1000,89,81,68
2204,1765,1,20,0,0,0,-1000,126,116,97
2093,2540,1,84,0,0,0,-1000,89,81,68
2103,2530,1,25,0,0,0,-1000,126,116,97
2412,2291,1,89,0,0,0,-1000,89,81,68
2422,2281,1,25,0,0,0,-1000,126,116,97
1394,1871,1,34,0,0,0,-1000,89,81,68
1400,1865,1,7,0,0,0,-1000,126,116,97
1003,1439,1,59,0,0,0,-1000,89,81,68
1013,1429,1,20,0,0,0,-1000,126,116,97
1378,1230,1,64,0,0,0,-1000,89,81,68
1388,1220,1,20,0,0,0,-1000,126,116,97
873,1741,1,63,0,0,0,-1000,89,81,68
883,1731,1,20,0,0,0,-1000,126,116,97
306,1707,1,55,0,0,0,-1000,89,81,68
316,1697,1,17,0,0,0,-1000,126,116,97
379,1215,1,55,0,0,0,-1000,89,81,68
389,1205,1,17,0,0,0,-1000,126,116,97
633,1625,1,40,0,0,0,-1000,89,81,68
643,1615,1,15,0,0,0,-1000,126,116,97
545,1966,1,67,0,0,0,-1000,89,81,68
555,1956,1,20,0,0,0,-1000,126,116,97
1021,2320,1,50,0,0,0,-1000,89,81,68
1031,2310,1,15,0,0,0,-1000,126,116,97
634,3403,1,35,0,0,0,-1000,89,81,68
639,3398,1,10,0,0,0,-1000,126,116,97
609,2990,1,35,0,0,0,-1000,89,81,68
614,2985,1,10,0,0,0,-1000,126,116,97
161,3312,1,47,0,0,0,-1000,89,81,68
168,3305,1,15,0,0,0,-1000,126,116,97
1326,2652,1,70,0,0,0,-1000,89,81,68
1336,2642,1,20,0,0,0,-1000,126,116,97
1215,3198,1,41,0,0,0,-1000,89,81,68
1222,3191,1,12,0,0,0,-1000,126,116,97
1747,2610,1,47,0,0,0,-1000,89,81,68
1755,2602,1,15,0,0,0,-1000,126,116,97
1737,3487,1,38,0,0,0,-1000,89,81,68
1742,3482,1,10,0,0,0,-1000,126,116,97
3305,3503,1,55,0,0,0,-1000,89,81,68
3315,3493,1,15,0,0,0,-1000,126,116,97
2254,3642,1,42,0,0,0,-1000,89,81,68
2264,3632,1,10,0,0,0,-1000,126,116,97
2730,3115,1,57,0,0,0,-1000,89,81,68
2740,3105,1,15,0,0,0,-1000,126,116,97
3400,2980,1,48,0,0,0,-1000,89,81,68
3410,2970,1,15,0,0,0,-1000,126,116,97
3605,2581,1,45,0,0,0,-1000,89,81,68
3615,2571,1,15,0,0,0,-1000,126,116,97
3067,1756,1,59,0,0,0,-1000,89,81,68
3077,1746,1,20,0,0,0,-1000,126,116,97
2490,1937,1,53,0,0,0,-1000,89,81,68
2500,1927,1,17,0,0,0,-1000,126,116,97
2290,1461,1,47,0,0,0,-1000,89,81,68
2300,1451,1,20,0,0,0,-1000,126,116,97
2641,929,1,51,0,0,0,-1000,89,81,68
2651,919,1,20,0,0,0,-1000,126,116,97
3219,499,1,44,0,0,0,-1000,89,81,68
3229,489,1,15,0,0,0,-1000,126,116,97
3606,1441,1,50,0,0,0,-1000,89,81,68
3616,1431,1,20,0,0,0,-1000,126,116,97
2965,195,1,40,0,0,0,-1000,89,81,68
2975,185,1,10,0,0,0,-1000,126,116,97
2651,406,1,40,0,0,0,-1000,89,81,68
2661,396,1,10,0,0,0,-1000,126,116,97
2109,1211,1,80,0,0,0,-1000,89,81,68
2125,1195,1,25,0,0,0,-1000,126,116,97
1740,378,1,42,0,0,0,-1000,89,81,68
1750,368,1,10,0,0,0,-1000,126,116,97
1948,179,1,42,0,0,0,-1000,89,81,68
1958,169,1,10,0,0,0,-1000,126,116,97
3305,3503,1,0,200,35,4.1,-1000,126,116,97
1419,426,1,0,77,28,2.8,-1000,89,81,68
1051,370,2,0,188,30,0,-1000,89,81,68
902,402,2,0,137,30,0.5,-1000,89,81,68
517,630,2,0,165,30,1.570796,-1000,89,81,68
517,966,2,0,186,30,1.570796,-1000,89,81,68
604,1359,2,0,200,30,2.35619,-1000,89,81,68
1720,608,2,0,200,30,2.8,-1000,89,81,68
1904,882,2,0,200,30,1.570796,-1000,89,81,68
1830,1220,2,0,200,30,1.3,-1000,89,81,68
2864,3286,2,0,190,30,0.55,-1000,126,116,97
2582,3545,2,0,200,35,4.1,-1000,126,116,97
3291,2760,2,0,200,30,1.570796,-1000,126,116,97
3327,2245,2,0,30,193,0.3,-1000,126,116,97
3547,1840,2,0,200,30,0.785,-1000,126,116,97
100,30,2,0,200,60,0,-1000,100,100,100
300,30,2,0,200,60,0,-1000,100,100,100
500,30,2,0,200,60,0,-1000,100,100,100
700,30,2,0,200,60,0,-1000,100,100,100
900,30,2,0,200,60,0,-1000,100,100,100
1100,30,2,0,200,60,0,-1000,100,100,100
1300,30,2,0,200,60,0,-1000,100,100,100
1500,30,2,0,200,60,0,-1000,100,100,100
1700,30,2,0,200,60,0,-1000,100,100,100
1900,30,2,0,200,60,0,-1000,100,100,100
2100,30,2,0,200,60,0,-1000,100,100,100
2300,30,2,0,200,60,0,-1000,100,100,100
2500,30,2,0,200,60,0,-1000,100,100,100
2700,30,2,0,200,60,0,-1000,100,100,100
2900,30,2,0,200,60,0,-1000,100,100,100
3100,30,2,0,200,60,0,-1000,100,100,100
3300,30,2,0,200,60,0,-1000,100,100,100
3500,30,2,0,200,60,0,-1000,100,100,100
3700,30,2,0,200,60,0,-1000,100,100,100
3820,30,2,0,40,60,0,-1000,100,100,100
100,3810,2,0,200,60,0,-1000,100,100,100
300,3810,2,0,200,60,0,-1000,100,100,100
500,3810,2,0,200,60,0,-1000,100,100,100
700,3810,2,0,200,60,0,-1000,100,100,100
900,3810,2,0,200,60,0,-1000,100,100,100
1100,3810,2,0,200,60,0,-1000,100,100,100
1300,3810,2,0,200,60,0,-1000,100,100,100
1500,3810,2,0,200,60,0,-1000,100,100,100
1700,3810,2,0,200,60,0,-1000,100,100,100
1900,3810,2,0,200,60,0,-1000,100,100,100
2100,3810,2,0,200,60,0,-1000,100,100,100
2300,3810,2,0,200,60,0,-1000,100,100,100
2500,3810,2,0,200,60,0,-1000,100,100,100
2700,3810,2,0,200,60,0,-1000,100,100,100
2900,3810,2,0,200,60,0,-1000,100,100,100
3100,3810,2,0,200,60,0,-1000,100,100,100
3300,3810,2,0,200,60,0,-1000,100,100,100
3500,3810,2,0,200,60,0,-1000,100,100,100
3700,3810,2,0,200,60,0,-1000,100,100,100
3820,3810,2,0,40,60,0,-1000,100,100,100
30,100,2,0,200,60,1.570796327,-1000,100,100,100
30,300,2,0,200,60,1.570796327,-1000,100,100,100
30,500,2,0,200,60,1.570796327,-1000,100,100,100
30,700,2,0,200,60,1.570796327,-1000,100,100,100
